STATION,GPS,HEIGHT (m),HEIGHT UNCERTAINTY (m),RATE (mm/yr),RATE UNCERTAINTY (mm/yr),EPOCH,SOLUTION,START DATE,END DATE,DISTANCE
1318,P121,25.073,0.010,-0.20,0.94,2020.0000,NGL14,2003-06-11,2023-03-23,16
1320,P120,29.230,0.005,5.21,0.74,2020.0000,NGL14,2003-06-09,2023-03-23,34
1320,P120,29.198,0.005,1.80,0.30,2020.0000,GT3,2003-06-09,2023-03-23,34
1326,SHE2,-26.925,0.010,-0.77,0.29,2020.0000,JPL14,2007-02-11,2023-03-22,3561
1326,SHE2,-26.922,0.010,-0.57,0.45,2020.0000,NGL14,2007-02-11,2023-03-22,3561
1343,P113,33.476,0.034,4.15,3.20,2020.0000,NGL14,2003-06-10,2023-03-23,8
1343,P113,33.548,0.005,5.76,0.30,2020.0000,GT3,2003-06-10,2023-03-23,8
1344,P109,31.255,0.004,3.14,0.86,2020.0000,NGL14,2003-06-05,2023-03-23,13
1344,P109,31.272,0.005,5.25,0.30,2020.0000,GT3,2003-06-05,2023-03-23,13
1345,P106,34.709,0.047,-4.27,3.70,2020.0000,NGL14,2003-06-10,2011-03-11,40
1347,ROTG,43.526,0.004,-1.92,0.54,2020.0000,NGL14,2009-08-25,2023-03-23,15
1347,ROTG,43.525,0.009,-1.25,0.20,2020.0000,ULR7a,2009-08-25,2023-03-23,15
1347,ROTG,43.545,0.004,-0.69,0.30,2020.0000,GT3,2009-08-25,2023-03-23,15
1364,P205,32.957,0.004,43.28,1.94,2020.0000,NGL14,2003-06-11,2023-03-23,30
1364,P205,33.192,0.005,-5.48,0.30,2020.0000,GT3,2003-06-11,2023-03-23,30
1370,POHN,45.446,0.005,-0.17,0.38,2020.0000,JPL14,2003-05-02,2023-03-23,3652
1370,POHN,45.456,0.014,-0.28,0.51,2020.0000,ULR7a,2003-05-02,2023-03-23,3652
1370,POHN,45.378,0.005,-5.11,0.30,2020.0000,GT3,2003-05-02,2023-03-23,3652
1370,POHN,45.440,0.007,-0.36,1.02,2020.0000,NGL14,2003-05-02,2023-03-23,3652
1373,SOLO,60.165,0.006,0.97,2.65,2020.0000,NGL14,2008-06-29,2023-03-23,508
1374,NAUR,34.524,0.006,-0.87,0.62,2020.0000,NGL14,2003-06-29,2020-03-19,3502
1374,NAUR,34.532,0.005,1.02,0.30,2020.0000,GT3,2003-06-29,2020-03-19,3502
1374,NAUR,34.525,0.004,-0.66,0.31,2020.0000,JPL14,2003-06-29,2020-03-19,3502
1374,NAUR,34.523,0.009,-1.53,0.38,2020.0000,ULR7a,2003-06-29,2020-03-19,3502
1381,KIRI,25.376,0.021,-0.61,0.32,2020.0000,ULR7a,2002-07-29,2023-03-23,1776
1381,KIRI,25.368,0.020,-0.60,0.47,2020.0000,JPL14,2002-07-29,2023-03-23,1776
1381,KIRI,25.391,0.020,0.18,0.30,2020.0000,GT3,2002-07-29,2023-03-23,1776
1381,KIRI,25.370,0.021,-0.13,0.63,2020.0000,NGL14,2002-07-29,2023-03-23,1776
1388,P124,23.998,0.004,0.40,0.64,2020.0000,NGL14,2003-06-13,2023-03-23,0
1389,P207,31.302,0.005,0.35,0.30,2020.0000,GT3,2003-06-04,2023-03-23,25
1389,P207,31.308,0.004,0.68,0.83,2020.0000,NGL14,2003-06-04,2023-03-23,25
1391,P213,43.131,0.013,-1.95,1.16,2020.0000,NGL14,2003-04-01,2016-07-10,1649
1391,P213,43.135,0.010,-1.77,0.52,2020.0000,ULR7a,2003-04-01,2016-07-10,1649
1391,P213,43.127,0.005,-1.46,0.30,2020.0000,GT3,2003-04-01,2016-07-10,1649
1397,PAPE,1.289,0.009,-1.82,0.14,2020.0000,ULR7a,2003-12-12,2023-01-18,1
1397,PAPE,1.298,0.006,-1.60,0.76,2020.0000,NGL14,2003-12-12,2023-01-18,1
1397,PAPE,1.264,0.005,-2.14,0.30,2020.0000,GT3,2003-12-12,2023-01-18,1
1397,PAPE,1.294,0.004,,,2020.0000,JPL14,2003-12-12,2023-01-18,1
1437,P114,33.429,0.005,1.23,0.30,2020.0000,GT3,2003-06-10,2023-03-23,15
1437,P114,33.373,0.004,0.04,0.86,2020.0000,NGL14,2003-06-10,2023-03-23,15
1438,P115,33.125,0.004,-2.75,0.89,2020.0000,NGL14,2003-06-11,2023-03-23,26
1438,P115,33.088,0.005,-2.03,0.30,2020.0000,GT3,2003-06-11,2023-03-23,26
1443,RBAY,17.896,0.002,,,2022.2313,NGL14,2000-10-03,2023-01-22,1823
1443,RBAY,17.899,0.004,,,2020.0000,JPL14,2000-10-03,2023-01-22,1823
1443,RBAY,17.904,0.002,,,2020.9987,GT3,2000-10-03,2023-01-22,1823
1455,ALME,42.846,0.006,-0.29,0.19,2020.0000,JPL14,1999-12-04,2023-03-23,3202
1455,ALME,42.842,0.006,-0.35,0.40,2020.0000,NGL14,1999-12-04,2023-03-23,3202
1455,ALME,42.860,0.008,0.38,0.30,2020.0000,GT3,1999-12-04,2023-03-23,3202
1455,ALM1,42.781,0.005,-0.07,1.29,2020.0000,NGL14,2018-11-23,2023-03-23,2
1455,ALME,42.847,0.009,-0.03,0.14,2020.0000,ULR7a,1999-12-04,2023-03-23,3202
1460,CARG,42.640,0.004,0.56,1.00,2020.7939,NGL14,2014-05-23,2023-03-22,91
1492,TOW2,51.532,0.004,-1.06,0.46,2020.0000,NGL14,1995-01-13,2023-03-23,930
1492,TOW2,51.529,0.004,-1.09,0.25,2020.0000,JPL14,1995-01-13,2023-03-23,930
1492,TOW2,51.551,0.006,-0.83,0.19,2020.0000,ULR7a,1995-01-13,2023-03-23,930
1492,TOW2,51.512,0.008,-1.16,0.30,2020.0000,GT3,1995-01-13,2023-03-23,930
1506,PTSV,-7.869,0.003,-1.13,0.49,2020.0000,NGL14,2010-08-30,2023-03-23,2299
1506,PTSV,-7.861,0.006,-1.16,0.19,2020.0000,ULR7a,2010-08-30,2023-03-23,2299
1506,PTSV,-7.839,0.003,2.35,0.30,2020.0000,GT3,2010-08-30,2023-03-23,2299
1547,PTLD,-10.528,0.006,-0.98,0.30,2020.0000,ULR7a,2009-09-01,2021-10-23,110
1547,PTLD,-10.536,0.004,-1.64,0.30,2020.0000,GT3,2009-09-01,2021-10-23,110
1547,PTLD,-10.533,0.004,-0.88,0.53,2020.0000,NGL14,2009-09-01,2021-10-23,110
1585,P209,26.577,0.005,-1.91,0.30,2020.0000,GT3,2003-06-17,2023-03-23,14
1585,P209,26.594,0.004,-2.03,0.63,2020.0000,NGL14,2003-06-17,2023-03-23,14
1597,PPER,-36.146,0.004,2.66,0.51,2020.0000,NGL14,2012-01-01,2023-03-23,5099
1597,PPER,-36.153,0.007,3.10,0.36,2020.0000,ULR7a,2012-01-01,2023-03-23,5099
1597,PPER,-36.155,0.005,,,2020.0000,JPL14,2012-01-01,2023-03-23,5099
1642,MAYG,-26.821,0.004,-2.49,1.26,2020.0000,NGL14,2013-12-22,2023-03-23,0
1645,GLPS,-10.981,0.013,-0.45,0.27,2013.9877,ULR6b,2003-01-07,2023-03-23,34483
1674,HKQT,-8.265,0.009,0.20,0.28,2020.0000,ULR7a,2009-01-01,2023-03-23,14
1674,HKQT,-8.280,0.005,0.40,0.91,2020.0000,NGL14,2009-01-01,2023-03-23,14
1703,GETI,-14.014,0.002,,,2015.9124,NGL14,1999-01-01,2015-11-30,185
1739,KIRI,25.376,0.021,-0.61,0.32,2020.0000,ULR7a,2002-07-29,2023-03-23,1776
1739,KIRI,25.368,0.020,-0.60,0.47,2020.0000,JPL14,2002-07-29,2023-03-23,1776
1739,KIRI,25.391,0.020,0.18,0.30,2020.0000,GT3,2002-07-29,2023-03-23,1776
1739,KIRI,25.370,0.021,-0.13,0.63,2020.0000,NGL14,2002-07-29,2023-03-23,1776
1784,PPTG,-47.375,0.011,-0.63,0.33,2020.0000,ULR7a,2015-11-25,2023-03-23,28
1784,PPTG,-47.369,0.006,0.05,1.60,2020.0000,NGL14,2015-11-25,2023-03-23,28
1791,P119,31.340,0.005,-1.72,0.30,2020.0000,GT3,2003-04-11,2023-03-23,52
1791,P119,31.339,0.004,-0.92,0.60,2020.0000,NGL14,2003-04-11,2023-03-23,52
1797,CSAR,12.124,0.011,0.23,0.19,2020.0000,JPL14,2004-03-24,2023-03-23,3218
1797,CSAR,12.125,0.011,,,2020.0000,NGL14,2004-03-24,2023-03-23,3218
1797,CSAR,12.139,0.012,0.46,0.21,2020.0000,ULR7a,2004-03-24,2023-03-23,3218
1799,HOLB,-22.547,0.003,2.21,0.41,2020.0000,JPL14,1992-09-08,2023-03-23,15518
1799,HOLB,-22.554,0.005,2.41,0.24,2020.0000,ULR7a,1992-09-08,2023-03-23,15518
1799,HOLB,-22.443,0.008,2.69,0.30,2020.0000,GT3,1992-09-08,2023-03-23,15518
1799,HOLB,-22.546,0.004,2.25,0.56,2020.0000,NGL14,1992-09-08,2023-03-23,15518
1802,PLUZ,36.003,0.001,,,2013.6260,GT3,2004-04-06,2018-10-01,798
1802,PLUZ,32.459,0.001,,,2013.6263,NGL14,2004-04-06,2018-10-01,798
1802,PLUZ,35.977,0.006,,,2020.0000,JPL14,2004-04-06,2018-10-01,798
1803,TN01,36.905,0.004,-0.59,0.30,2020.0000,GT3,2007-05-15,2023-03-23,5
1803,TN01,36.904,0.005,-0.51,0.59,2020.0000,NGL14,2007-05-15,2023-03-23,5
1804,KIRI,25.376,0.021,-0.61,0.32,2020.0000,ULR7a,2002-07-29,2023-03-23,1618
1804,KIRI,25.370,0.021,-0.13,0.63,2020.0000,NGL14,2002-07-29,2023-03-23,1618
1804,KIRI,25.368,0.020,-0.60,0.47,2020.0000,JPL14,2002-07-29,2023-03-23,1618
1804,KIRI,25.391,0.020,0.18,0.30,2020.0000,GT3,2002-07-29,2023-03-23,1618
1805,LAUT,51.683,0.008,-0.99,0.27,2020.0000,ULR7a,2001-11-22,2023-03-23,984
1805,LAUT,51.681,0.006,-0.85,0.30,2020.0000,GT3,2001-11-22,2023-03-23,984
1805,LAUT,51.686,0.004,-1.77,0.32,2020.0000,JPL14,2001-11-22,2023-03-23,984
1805,LAUT,51.693,0.007,-1.22,0.68,2020.0000,NGL14,2001-11-22,2023-03-23,984
1807,CANT,43.080,0.009,-0.40,0.25,2020.0000,ULR7a,2000-03-11,2023-03-23,1326
1807,CANT,43.055,0.003,-0.74,0.57,2020.0000,JPL14,2000-03-11,2023-03-23,1326
1807,CANT,43.082,0.006,-0.23,0.30,2020.0000,GT3,2000-03-11,2023-03-23,1326
1807,CANT,43.058,0.004,-0.68,0.45,2020.0000,NGL14,2000-03-11,2023-03-23,1326
1808,ACOR,47.499,0.004,-2.15,0.19,2020.0000,JPL14,1998-12-11,2023-03-22,1105
1808,ACOR,47.496,0.005,-2.48,0.37,2020.0000,NGL14,1998-12-11,2023-03-22,1105
1808,ACOR,47.498,0.006,-1.56,0.30,2020.0000,GT3,1998-12-11,2023-03-22,1105
1808,ACOR,47.501,0.007,-2.05,0.22,2020.0000,ULR7a,1998-12-11,2023-03-22,1105
1810,MALA,41.173,0.008,0.42,0.20,2020.0000,ULR7a,2000-03-29,2023-03-23,2633
1810,MALA,41.155,0.007,0.20,0.43,2020.0000,NGL14,2000-03-29,2023-03-23,2633
1811,BCL1,42.038,0.005,-0.73,0.88,2020.0000,NGL14,2016-01-12,2023-03-23,2
1811,BCL1,42.044,0.006,-0.86,0.23,2020.0000,ULR7a,2016-01-12,2023-03-23,2
1813,VALE,43.014,0.006,-1.70,0.30,2020.0000,GT3,2000-01-10,2023-03-23,4873
1813,VALE,42.975,0.007,-1.13,0.41,2020.0000,NGL14,2000-01-10,2023-03-23,4873
1813,VALE,42.980,0.003,-1.28,0.67,2020.0000,JPL14,2000-01-10,2023-03-23,4873
1813,VALE,42.992,0.006,-0.90,0.16,2020.0000,ULR7a,2000-01-10,2023-03-23,4873
1814,MAW1,25.575,0.006,-0.55,0.40,2020.0000,NGL14,1995-01-05,2023-03-23,756
1814,MAW1,25.576,0.004,-0.71,0.11,2020.0000,JPL14,1995-01-05,2023-03-23,756
1814,MAW1,25.578,0.006,-0.73,0.11,2020.0000,ULR7a,1995-01-05,2023-03-23,756
1816,DAKR,23.825,0.009,-0.60,0.43,2020.0000,ULR7a,2011-08-12,2021-01-20,4847
1816,DAKA,23.872,0.004,,,2007.4305,NGL14,2002-03-21,2007-06-08,5213
1816,DAKR,23.828,0.005,-0.49,0.42,2020.0000,JPL14,2011-08-12,2021-01-20,4847
1816,DAKA,23.861,0.010,,,2020.0000,JPL14,2002-03-21,2007-06-08,5213
1816,DAKA,23.874,0.004,,,2007.4315,GT3,2002-03-21,2007-06-08,5213
1816,DAKR,23.827,0.006,-1.10,0.68,2020.0000,NGL14,2011-08-12,2021-01-20,4847
1817,KOPE,37.565,0.004,-0.60,0.51,2020.0000,NGL14,2006-01-01,2022-12-31,0
1831,ASC1,8.196,0.015,-0.37,0.30,2007.6726,ULR7a,1996-04-21,2007-09-03,7112
1831,ASCG,8.172,0.024,-0.63,0.81,2020.0000,NGL14,2015-09-18,2023-03-23,6400
1831,ASC1,8.200,0.015,,,2007.6715,NGL14,1996-04-21,2007-09-03,7112
1831,ASCG,8.182,0.024,0.21,0.26,2020.0000,ULR7a,2015-09-18,2023-03-23,6400
1831,ASC1,8.207,0.015,,,2007.6726,GT3,1996-04-21,2007-09-03,7112
1831,ASC1,8.195,0.016,,,2020.0000,JPL14,1996-04-21,2007-09-03,7112
1838,MAJU,22.622,0.012,0.63,0.38,2013.9958,ULR6b,2007-05-22,2022-03-27,1722
1839,TUVA,28.894,0.008,-1.58,0.74,2020.0000,NGL14,2001-11-28,2023-03-23,2543
1839,TUVA,28.914,0.006,0.00,0.30,2020.0000,GT3,2001-11-28,2023-03-23,2543
1839,TUVA,28.908,0.010,-1.43,0.23,2020.0000,ULR7a,2001-11-28,2023-03-23,2543
1839,TUVA,28.910,0.004,-1.57,0.42,2020.0000,JPL14,2001-11-28,2023-03-23,2543
1840,SAMO,30.868,0.006,-7.23,0.30,2020.0000,GT3,2001-07-01,2023-03-23,3512
1840,SAMO,30.950,0.006,-5.24,1.04,2020.0000,NGL14,2001-07-01,2023-03-23,3512
1840,SAMO,30.954,0.004,-3.98,0.44,2020.0000,JPL14,2001-07-01,2023-03-23,3512
1841,VANU,57.677,0.003,-3.90,0.61,2020.0000,JPL14,2002-09-11,2013-08-20,1490
1841,VANU,57.703,0.001,,,2013.6345,NGL14,2002-09-11,2013-08-20,1490
1842,TONG,46.446,0.006,,,2020.0000,NGL14,2002-02-18,2023-03-09,893
1842,TONG,46.463,0.013,-0.33,0.82,2020.0000,ULR7a,2002-02-18,2023-03-09,893
1842,TONG,46.494,0.005,-0.25,0.30,2020.0000,GT3,2002-02-18,2023-03-09,893
1842,TONG,46.445,0.004,1.02,1.40,2020.0000,JPL14,2002-02-18,2023-03-09,893
1843,CKIS,6.956,0.006,0.50,0.30,2020.0000,GT3,2001-09-10,2023-03-02,1693
1843,CKIS,6.930,0.005,-0.75,0.71,2020.0000,NGL14,2001-09-10,2023-03-02,1693
1843,CKIS,6.924,0.004,-1.01,0.16,2020.0000,JPL14,2001-09-10,2023-03-02,1693
1843,CKIS,6.925,0.008,-0.71,0.20,2020.0000,ULR7a,2001-09-10,2023-03-02,1693
1844,NAUR,34.532,0.005,1.02,0.30,2020.0000,GT3,2003-06-29,2020-03-19,3022
1844,NAUR,34.524,0.006,-0.87,0.62,2020.0000,NGL14,2003-06-29,2020-03-19,3022
1844,NAUR,34.525,0.004,-0.66,0.31,2020.0000,JPL14,2003-06-29,2020-03-19,3022
1844,NAUR,34.523,0.009,-1.53,0.38,2020.0000,ULR7a,2003-06-29,2020-03-19,3022
1849,KERG,32.172,0.004,0.69,0.31,2020.0000,JPL14,1994-11-16,2023-03-23,4
1849,KERG,32.173,0.005,0.14,0.59,2020.0000,NGL14,1994-11-16,2023-03-23,4
1849,KETG,30.982,0.004,,,2020.0000,NGL14,2003-12-15,2023-03-23,2723
1849,KETG,30.974,0.002,-0.50,0.44,2020.9932,ULR7a,2003-12-15,2023-03-23,2723
1849,KERG,32.159,0.007,-0.56,0.28,2020.0000,ULR7a,1994-11-16,2023-03-23,4
1849,KERG,32.176,0.008,0.05,0.30,2020.0000,GT3,1994-11-16,2023-03-23,4
1853,P102,32.233,0.005,0.16,0.30,2020.0000,GT3,2003-04-14,2023-03-23,17
1853,P102,32.252,0.004,-1.68,0.76,2020.0000,NGL14,2003-04-14,2023-03-23,17
1858,MIA3,-33.501,0.015,-0.28,0.34,2020.0000,JPL14,1998-06-04,2009-06-18,344
1858,AOML,-33.475,0.028,0.21,1.14,2020.0000,NGL14,1997-11-20,2004-04-04,164
1858,MIA3,-33.509,0.020,-0.59,0.71,2020.0000,NGL14,1998-06-04,2009-06-18,344
1858,N300,-33.552,0.006,-1.18,2.27,2020.0000,NGL14,2019-07-01,2023-03-22,164
1858,AOML,-33.479,0.023,-0.12,1.12,2020.0000,ULR7a,1997-11-20,2004-04-04,164
1858,AOML,-33.472,0.019,0.39,0.88,2020.0000,JPL14,1997-11-20,2004-04-04,164
1860,PNGM,71.469,0.010,-1.70,0.43,2020.0000,ULR7a,2002-05-01,2023-03-19,873
1860,PNGM,71.460,0.005,0.45,1.45,2020.0000,NGL14,2002-05-01,2023-03-19,873
1860,PNGM,71.466,0.005,-1.58,0.30,2020.0000,GT3,2002-05-01,2023-03-19,873
1860,PNGM,71.462,0.004,-1.38,0.27,2020.0000,JPL14,2002-05-01,2023-03-19,873
1861,SOLO,60.165,0.006,0.97,2.65,2020.0000,NGL14,2008-06-29,2023-03-23,677
1871,XIX1,46.026,0.004,-0.59,1.03,2020.0000,NGL14,2018-07-02,2023-03-22,2
1883,HUE1,43.858,0.006,1.12,1.05,2020.0000,NGL14,2017-07-13,2023-03-23,2
1886,CAS1,-25.108,0.005,1.27,0.21,2020.0000,ULR7a,1994-07-05,2023-03-23,1660
1886,CAS1,-25.075,0.008,2.34,0.30,2020.0000,GT3,1994-07-05,2023-03-23,1660
1886,CAS1,-25.093,0.004,2.40,0.42,2020.0000,JPL14,1994-07-05,2023-03-23,1660
1886,CAS1,-25.094,0.005,1.58,0.46,2020.0000,NGL14,1994-07-05,2023-03-23,1660
1891,HKQT,-8.280,0.005,0.40,0.91,2020.0000,NGL14,2009-01-01,2023-03-23,8113
1891,HKQT,-8.265,0.009,0.20,0.28,2020.0000,ULR7a,2009-01-01,2023-03-23,8113
1892,MALL,41.956,0.004,-0.34,0.42,2020.0000,NGL14,2000-05-12,2023-03-23,1232
1892,MAL1,42.056,0.000,1.68,0.83,2020.9958,ULR7a,2015-10-29,2023-03-23,877
1892,MAL1,42.058,0.007,0.58,1.16,2020.0000,NGL14,2015-10-29,2023-03-23,877
1892,MALL,41.974,0.007,-0.02,0.15,2020.0000,ULR7a,2000-05-12,2023-03-23,1232
1892,MALL,41.960,0.004,-0.67,0.24,2020.0000,JPL14,2000-05-12,2023-03-23,1232
1892,MAL1,42.073,0.000,,,2020.9987,GT3,2015-10-29,2023-03-23,877
1914,TGCV,23.887,0.001,,,2014.9185,NGL14,2000-04-29,2014-12-02,537
1914,TGCV,23.895,0.001,,,2014.9192,GT3,2000-04-29,2014-12-02,537
1914,TGCV,23.875,0.004,,,2020.0000,JPL14,2000-04-29,2014-12-02,537
1920,CHAT,3.499,0.012,-1.21,0.30,2020.0000,GT3,1995-10-04,2012-03-06,1127
1920,CHAT,3.539,0.010,-1.06,0.27,2020.0000,JPL14,1995-10-04,2012-03-06,1127
1920,CHAT,3.536,0.013,-0.96,0.50,2020.0000,NGL14,1995-10-04,2012-03-06,1127
1920,CHAT,3.532,0.012,-1.20,0.23,2020.0000,ULR7a,1995-10-04,2012-03-06,1127
1925,POHN,45.440,0.007,-0.36,1.02,2020.0000,NGL14,2003-05-02,2023-03-23,2537
1925,POHN,45.446,0.005,-0.17,0.38,2020.0000,JPL14,2003-05-02,2023-03-23,2537
1925,POHN,45.378,0.005,-5.11,0.30,2020.0000,GT3,2003-05-02,2023-03-23,2537
1925,POHN,45.456,0.014,-0.28,0.51,2020.0000,ULR7a,2003-05-02,2023-03-23,2537
1929,AJAC,40.746,0.003,0.11,0.36,2020.0000,JPL14,2000-01-22,2023-03-23,519
1929,AJAC,40.770,0.006,0.67,0.25,2020.0000,ULR7a,2000-01-22,2023-03-23,519
1929,AJAC,40.775,0.005,0.47,0.44,2020.0000,NGL14,2000-01-22,2023-03-23,519
1929,AJAC,40.800,0.006,1.09,0.30,2020.0000,GT3,2000-01-22,2023-03-23,519
1930,HOLM,-23.597,0.012,4.04,0.30,2020.0000,GT3,2001-08-29,2020-03-19,4
1930,HOLM,-23.688,0.012,2.96,0.17,2020.0000,ULR7a,2001-08-29,2020-03-19,4
1930,HOLM,-23.691,0.010,2.80,0.20,2020.0000,JPL14,2001-08-29,2020-03-19,4
1930,HOLM,-23.699,0.012,2.97,0.48,2020.0000,NGL14,2001-08-29,2020-03-19,4
1931,ROTH,0.464,0.008,,,2020.0000,NGL14,2010-02-06,2022-12-11,173
1931,ROTH,0.468,0.006,3.38,0.28,2020.0000,JPL14,2010-02-06,2022-12-11,173
1931,ROTH,0.485,0.010,3.91,0.64,2020.0000,ULR7a,2010-02-06,2022-12-11,173
1932,IBIZ,42.091,0.007,-1.28,0.26,2020.0000,ULR7a,2004-10-14,2023-03-23,76
1932,IBIZ,42.079,0.005,-1.28,0.48,2020.0000,NGL14,2004-10-14,2023-03-23,76
1942,LMMF,-45.120,0.010,-2.04,0.30,2020.0000,ULR7a,2008-07-03,2023-03-23,7253
1942,LMMF,-45.109,0.005,-1.44,0.22,2020.0000,JPL14,2008-07-03,2023-03-23,7253
1942,LMMF,-45.106,0.006,-2.37,1.11,2020.0000,NGL14,2008-07-03,2023-03-23,7253
2012,IRYL,-41.177,0.001,-0.37,1.30,2020.9413,ULR7a,2013-10-30,2022-05-29,47
2012,IRYL,-41.193,0.005,-0.65,1.25,2020.0000,NGL14,2013-10-30,2022-05-29,47
2048,FUER,44.856,0.006,-0.67,0.73,2020.0000,NGL14,2013-12-12,2023-03-23,728
2048,FUER,44.856,0.007,-0.54,0.49,2020.0000,ULR7a,2013-12-12,2023-03-23,728
2054,TARI,34.689,0.007,2.09,1.05,2020.0000,NGL14,2010-05-15,2019-05-30,241
2056,ALME,42.846,0.006,-0.29,0.19,2020.0000,JPL14,1999-12-04,2023-03-23,3017
2056,ALME,42.860,0.008,0.38,0.30,2020.0000,GT3,1999-12-04,2023-03-23,3017
2056,ALM1,42.781,0.005,-0.07,1.29,2020.0000,NGL14,2018-11-23,2023-03-23,639
2056,ALME,42.847,0.009,-0.03,0.14,2020.0000,ULR7a,1999-12-04,2023-03-23,3017
2056,ALME,42.842,0.006,-0.35,0.40,2020.0000,NGL14,1999-12-04,2023-03-23,3017
2057,MELI,42.074,0.012,-0.59,0.72,2020.0000,NGL14,2011-12-15,2023-03-23,2344
2057,MELI,42.081,0.013,-0.50,0.31,2020.0000,ULR7a,2011-12-15,2023-03-23,2344
2061,MALL,41.974,0.007,-0.02,0.15,2020.0000,ULR7a,2000-05-12,2023-03-23,1389
2061,MALL,41.960,0.004,-0.67,0.24,2020.0000,JPL14,2000-05-12,2023-03-23,1389
2061,MAL1,42.073,0.000,,,2020.9987,GT3,2015-10-29,2023-03-23,4
2061,MALL,41.956,0.004,-0.34,0.42,2020.0000,NGL14,2000-05-12,2023-03-23,1389
2061,MAL1,42.058,0.007,0.58,1.16,2020.0000,NGL14,2015-10-29,2023-03-23,4
2061,MAL1,42.056,0.000,1.68,0.83,2020.9958,ULR7a,2015-10-29,2023-03-23,4
2144,GARI,33.262,0.004,-3.21,0.67,2020.0000,NGL14,2009-05-25,2023-03-23,108
2144,GARI,33.276,0.003,-3.23,0.30,2020.0000,GT3,2009-05-25,2023-03-23,108
2144,GARI,33.277,0.007,-2.82,0.29,2020.0000,ULR7a,2009-05-25,2023-03-23,108
2216,RGTG,-3.497,0.001,-1.37,0.66,2020.9958,ULR7a,2009-02-25,2021-02-24,0
2216,RGTG,-3.493,0.001,,,2021.1499,NGL14,2009-02-25,2021-02-24,0
2217,TBTG,-6.849,0.009,-0.96,0.16,2020.0000,ULR7a,2009-05-19,2022-10-09,0
2217,TBTG,-6.857,0.005,-1.49,0.56,2020.0000,NGL14,2009-05-19,2022-10-09,0
2236,ILDX,43.303,0.004,-1.17,0.27,2020.0000,JPL14,2012-02-08,2023-03-23,293
2236,ILDX,43.313,0.006,-1.39,0.28,2020.0000,ULR7a,2012-02-08,2023-03-23,293
2236,ILDX,43.299,0.004,-0.93,0.58,2020.0000,NGL14,2012-02-08,2023-03-23,293
2237,HGHN,62.255,0.009,-0.60,0.18,2020.0000,ULR7a,2009-12-17,2023-03-22,350
2237,HGHN,62.244,0.005,-1.60,1.19,2020.0000,NGL14,2009-12-17,2023-03-22,350
2239,MRTG,60.301,0.010,-1.96,0.43,2020.0000,ULR7a,2015-11-25,2023-01-29,138
2239,MRTG,60.294,0.005,-0.79,3.75,2020.0000,NGL14,2015-11-25,2023-01-29,138
2242,VRTG,7.753,0.005,,,2020.0000,NGL14,2011-05-10,2023-03-23,0
2242,VRTG,7.750,0.001,-1.04,0.19,2020.9958,ULR7a,2011-05-10,2023-03-23,0
2244,FTTG,45.851,0.013,-3.18,0.53,2020.0000,ULR7a,2011-10-15,2017-08-16,0
2244,FTTG,45.864,0.013,-1.90,2.62,2020.0000,NGL14,2011-10-15,2017-08-16,0
2246,STPM,-2.677,0.007,-1.63,0.24,2020.0000,ULR7a,2013-12-01,2022-10-11,112
2246,STPM,-2.674,0.003,-1.39,0.69,2020.0000,NGL14,2013-12-01,2022-10-11,112
2338,PASA,41.327,0.004,-0.22,0.54,2020.0000,NGL14,2007-02-12,2023-03-23,0
